name	x	y	z	size	mars	aal
t05-t06	55.99	-1.44	-11.416	1	R_STCc	Temporal_Sup_R
t06-t07	58.86	-1.907	-9.054	1	R_STCc	Temporal_Sup_R
t07-t08	61.771	-2.381	-6.729	1	R_STCc	Temporal_Sup_R
t08-t09	64.78	-2.824	-4.436	1	R_STCc	Temporal_Sup_R
t09-t10	67.788	-3.272	-2.141	1	R_STCc	Temporal_Sup_R
u01-u02	41.276	-24.931	2.236	1	R_STCc	Temporal_Sup_R
u02-u03	44.754	-25.403	3.055	1	R_STCc	Temporal_Sup_R
u03-u04	48.168	-25.839	4.052	1	R_STCc	Temporal_Sup_R
u04-u05	51.588	-26.29	5.204	1	R_STCc	Temporal_Sup_R
u05-u06	55.045	-26.835	6.31	1	R_STCc	Temporal_Sup_R
u06-u07	58.514	-27.453	7.276	1	R_STCc	Temporal_Sup_R
u07-u08	61.952	-28.045	8.218	1	R_STCc	Temporal_Sup_R
u08-u09	65.363	-28.565	9.259	1	R_STCc	Temporal_Sup_R
u09-u10	68.743	-29.04	10.386	1	R_STCc	Temporal_Sup_R
x01-x02	9.157	29.418	-22.609	1	R_PFCvm	Rectus_R
x02-x03	10.231	31.785	-19.688	1	R_PFCvm	Rectus_R
x03-x04	11.308	34.192	-16.714	1	R_OFCvm	Rectus_R
x04-x05	12.36	36.601	-13.651	1	R_PFCvm	Frontal_Med_Orb_R
x05-x06	13.341	39.003	-10.548	1	R_PFCvm	Frontal_Med_Orb_R
x06-x07	14.221	41.406	-7.397	1	R_PFCvm	Frontal_Med_Orb_R
x07-x08	15.044	43.797	-4.212	1	R_PFCvm	Frontal_Med_Orb_R
x08-x09	15.883	46.165	-1.005	1	R_PFCvm	Frontal_Med_Orb_R
x09-x10	16.739	48.521	2.21	1	R_PFCvm	Frontal_Sup_R
x10-x11	17.61	50.858	5.407	1	R_Pfrdls	Frontal_Sup_Medial_R
x11-x12	18.522	53.154	8.582	1	R_Pfrdls	Frontal_Sup_R
x12-x13	19.407	55.376	11.745	1	R_Pfrdls	Frontal_Sup_R
x13-x14	20.209	57.526	14.892	1	R_Pfrdls	Frontal_Sup_R
x14-x15	20.994	59.65	18.013	1	R_Pfrdls	Frontal_Sup_R
x15-x16	21.805	61.781	21.099	1	R_Pfrdls	Frontal_Sup_R
x16-x17	22.621	63.887	24.104	1	R_Pfrdls	Frontal_Sup_R
x17-x18	23.436	65.983	27.032	1	not in a mars atlas parcel	not in a AAL parcel
y01-y02	28.447	29.09	-21.751	1	R_OFCvl	Frontal_Inf_Orb_R
y02-y03	28.893	31.63	-18.936	1	R_OFCvl	Frontal_Inf_Orb_R
y03-y04	29.324	34.178	-16.077	1	R_OFCvl	Frontal_Inf_Orb_R
y04-y05	29.715	36.738	-13.132	1	R_OFCvl	Frontal_Mid_Orb_R
y05-y06	30.07	39.334	-10.102	1	R_OFCvl	Frontal_Inf_Orb_R
y06-y07	30.427	41.921	-7.003	1	R_OFCvl	Frontal_Mid_Orb_R
y07-y08	30.844	44.51	-3.875	1	R_Pfrdli	Frontal_Mid_Orb_R
y08-y09	31.327	47.102	-0.754	1	R_Pfrdli	Frontal_Mid_R
y09-y10	31.84	49.6	2.291	1	R_Pfrdli	Frontal_Mid_R
y10-y11	32.356	52.014	5.278	1	R_Pfrdli	Frontal_Mid_R
y11-y12	32.853	54.39	8.262	1	R_Pfrdli	Frontal_Sup_R
y12-y13	33.305	56.705	11.246	1	R_Pfrdli	Frontal_Sup_R
y13-y14	33.693	58.945	14.201	1	R_Pfrdli	Frontal_Sup_R
y14-y15	34.005	61.115	17.096	1	R_Pfrdls	Frontal_Sup_R
z01-z02	37.325	11.323	-6.004	1	R_Insula	Insula_R
z02-z03	36.111	14.22	-4.26	1	R_Insula	Insula_R
z03-z04	34.885	17.153	-2.476	1	R_Insula	Insula_R
z04-z05	33.612	20.109	-0.668	1	R_Insula	Insula_R
z05-z06	32.29	23.081	1.168	1	R_PFrvl	Insula_R
z06-z07	30.908	26.059	3.04	1	R_PFrvl	Insula_R
z07-z08	29.515	29.014	4.924	1	R_PFrvl	Insula_R
z08-z09	28.233	31.907	6.762	1	R_PFrvl	not in a AAL parcel
z09-z10	27.052	34.751	8.534	1	R_Pfrdli	not in a AAL parcel
z10-z11	25.857	37.571	10.245	1	R_Pfrdli	not in a AAL parcel
z11-z12	24.602	40.376	11.925	1	R_Pfrdli	not in a AAL parcel
z12-z13	23.351	43.201	13.659	1	R_Pfrdls	not in a AAL parcel
z13-z14	22.189	46.071	15.497	1	R_Pfrdls	Frontal_Sup_R
z14-z15	21.063	48.951	17.395	1	R_Pfrdls	Frontal_Sup_R
z15-z16	19.874	51.809	19.298	1	R_PFrd	Frontal_Sup_R
z16-z17	18.634	54.668	21.205	1	R_PFrd	Frontal_Sup_R
z17-z18	17.352	57.507	23.094	1	R_PFrd	Frontal_Sup_R
